,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
3707,엘도라도 게이트,장르: RPG,일정: 출시 (2000.10.10),ETC,0,0,0,http://bbs.ruliweb.com/game/3465,http://bbs.ruliweb.com/game/3465/review
3708,어드밴스드 대전략,"장르: 전략, 시뮬레이션",일정: 출시 (1991.06.17),ETC,0,0,0,http://bbs.ruliweb.com/game/3466,http://bbs.ruliweb.com/game/3466/review
3709,네플 테일,장르: RPG,일정: 출시 (2003.03.06),ETC,0,0,0,http://bbs.ruliweb.com/game/3467,http://bbs.ruliweb.com/game/3467/review
3710,스타워즈 레이서 - 아케이드,장르: 레이싱,일정: 출시 (2000.01.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3468,http://bbs.ruliweb.com/game/3468/review
3711,브레이브 블레이드,"장르: 슈팅, 액션",일정: 출시 (2000.04.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3469,http://bbs.ruliweb.com/game/3469/review
3712,원/포스,장르: RPG,일정: 출시 (2000.07.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3470,http://bbs.ruliweb.com/game/3470/review
3713,스트리트 파이터 3: 3rd 스트라이크,"장르: 격투, 액션","일정: 출시 (2000.06.29), 출시 (1997.02.04)",ETC ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3471,http://bbs.ruliweb.com/game/3471/review
3714,메탈슬러그 3,"장르: 슈팅, 액션","일정: 출시 (2000.05.01), 출시 (2015.05.15), 출시 (2014.12.17)",ETC PS4 X360 X360 ETC PS3 VITA,0,0,0,http://bbs.ruliweb.com/game/3472,http://bbs.ruliweb.com/game/3472/review
3715,고르고 13,"장르: 슈팅, 액션",일정: 출시 (1999.01.01),ETC,0,0,0,http://bbs.ruliweb.com/game/3473,http://bbs.ruliweb.com/game/3473/review
3716,엘더 게이트,장르: RPG,일정: 출시 (2000.06.22),PS2,0,0,0,http://bbs.ruliweb.com/game/3474,http://bbs.ruliweb.com/game/3474/review
3717,퍼스트 키스 이야기 - 키스에서 시작되는 이야기-,장르: 어드벤처,일정: 출시 (2000.05.26),ETC,0,0,0,http://bbs.ruliweb.com/game/3475,http://bbs.ruliweb.com/game/3475/review
3718,건그리폰 블레이즈,장르: 액션,일정: 출시 (2000.10.24),ETC,0,0,0,http://bbs.ruliweb.com/game/3476,http://bbs.ruliweb.com/game/3476/review
3719,발키리 프로파일,장르: RPG,일정: 출시 (1999.12.01),PS2,10,3,0,http://bbs.ruliweb.com/game/3477,http://bbs.ruliweb.com/game/3477/review
3720,쉔무,"장르: RPG, 어드벤처",일정: 출시 (1999.12.29),ETC,0,0,0,http://bbs.ruliweb.com/game/3478,http://bbs.ruliweb.com/game/3478/review
3721,여신 전쟁 페르소나 2  -죄-,장르: RPG,"일정: 출시 (2000.06.01), 출시 (2011.04.15)",PS2 PSP,10,2,0,http://bbs.ruliweb.com/game/3479,http://bbs.ruliweb.com/game/3479/review
3722,디노 크라이시스,"장르: 어드벤처, 액션","일정: 출시 (1999.07.01), 출시 (2000.05.01), 출시 (2000.09.06), 출시 (2006.12.20), 출시 (2008.01.10)",PS2 PC/ON ETC PS3 PSN,0,0,0,http://bbs.ruliweb.com/game/3480,http://bbs.ruliweb.com/game/3480/review
3723,인연이라는 이름의 펜던트,장르: 어드벤처,일정: 출시 (2000.01.01),PS2,0,0,0,http://bbs.ruliweb.com/game/3481,http://bbs.ruliweb.com/game/3481/review
3724,더트 챔프,장르: 레이싱,일정: 출시 (2000.01.06),PS2,0,0,0,http://bbs.ruliweb.com/game/3482,http://bbs.ruliweb.com/game/3482/review
3725,가이아 마스터,장르: 보드,일정: 출시 (2000.04.13),PS2 ETC,0,0,0,http://bbs.ruliweb.com/game/3483,http://bbs.ruliweb.com/game/3483/review
3726,NFL 2K,장르: 스포츠,일정: 출시 (2000.01.20),ETC,0,0,0,http://bbs.ruliweb.com/game/3484,http://bbs.ruliweb.com/game/3484/review
3727,프로야구팀으로 놀자!,장르: 스포츠,일정: 출시 (1999.12.23),ETC,0,0,0,http://bbs.ruliweb.com/game/3485,http://bbs.ruliweb.com/game/3485/review
3728,건버드 2,"장르: 슈팅, 액션",일정: 출시 (2000.03.09),ETC,0,0,0,http://bbs.ruliweb.com/game/3486,http://bbs.ruliweb.com/game/3486/review
